,LATITUDE,LONGITUDE,NAME,STATION,TEMP_COEF_AVG,TEMP_COEF_MAX,TEMP_COEF_MIN,YEAR_MAX,YEAR_MIN
0,50.8,-120.1333,"MOUNT LOLO KAMLOOPS, BC CA",CA001165225,,,,1976,1965
1,39.4688,-119.0644,"LAHONTAN DAM, NV US",USC00264349,1.7235379851900532,1.6951817084405467,1.8124863339924715,2018,1912
2,32.13133,-81.20237,"SAVANNAH INTERNATIONAL AIRPORT, GA US",USW00003822,1.4756874580818256,1.3747820254862515,1.5754191817572107,2019,1948
3,39.044000000000004,-80.4725,"WESTON, WV US",USC00469436,-1.2407534442425836,-0.9350156719386237,-1.6400332143099026,2011,1898
4,-34.5714,117.0106,"ROCKY GULLY, AS",ASN00009964,,,,2017,1997
5,46.5,-110.3378,"MARTINSDALE 3 NNW, MT US",USC00245387,0.9244438887411668,1.1772391698987243,0.7057524316258427,2011,1893
6,16.5667,-98.45,"MILPILLAS CFE, MX",MXN00012187,,,,2000,1981
7,43.6333,-79.4,"TORONTO ISLAND A, ON CA",CA006158665,2.235751859291774,2.332818002233103,2.235727059549691,2005,1958
8,31.67278,-102.41333,"CRANE 10 N, TX US",USC00412084,,,,2017,2001
9,29.6,-109.4667,"DIVISADEROS, MX",MXN00026222,,,,2005,1983
10,39.040279999999996,-116.19888999999999,"SNOWBALL RANCH, NV US",USC00267640,2.726291292261942,2.4562027280367187,2.72157644085917,2001,1967
11,39.68,-111.32,"MAMMOTH COTTONWOOD, UT US",USS0011K03S,3.3873517786561265,-5.220961941271786,16.20609824957651,2016,1980
12,37.5147,-122.0325,"NEWARK, CA US",USC00046144,2.694544882375231,1.1299798720287695,4.313046298496535,2019,1943
13,32.4033,-110.7117,"SOLLERS ARIZONA, AZ US",USR0000ASOL,,,,2019,2002
14,16.4167,-97.2167,"SANTIAGO MINAS, MX",MXN00020135,0.9224609909663266,-0.23780845489030458,2.099790778616402,1995,1954
15,30.2364,-95.4828,"CONROE TEXAS, TX US",USR0000TCON,,,,2019,1995
16,53.8333,-114.5333,"GLENEVIS AGCM, AB CA",CA003012818,,,,2017,2009
17,43.63333,-72.31667,"WEST LEBANON, NH US",USC00279318,1.0138913466643067,-0.29748313440581237,2.1044062997699524,1960,1931
18,20.1,-89.45,"XUL, MX",MXN00031038,,,,2002,1971
19,39.01667,-76.95,"BELTSVILLE PLANT STATION, MD US",USC00180705,1.9640394088669948,-2.281280788177341,6.214285714285715,1978,1949
20,6.08333,171.73333,"MILI, MH RM",RMC00914487,,,,2015,1986
21,46.616667,-97.266667,"POWER, ND US",USC00327270,,,,1921,1895
22,39.0055,-114.2205,"GREAT BASIN NATIONAL PARK, NV US",USC00263340,-2.246078529323607,-4.116586082669699,-0.5143370966130484,2017,1988
23,25.8604,-81.033,"OASIS RANGER STATION, FL US",USC00086406,0.2494286079976617,-0.5136137862882605,0.8416101369512374,2016,1979
24,18.45,-91.1333,"ENTRE HERMANOS, MX",MXN00004083,,,,2010,1998
25,44.4667,-63.5667,"SANDY COVE NRC, NS CA",CA008205062,,-0.8774571034120043,,2000,1976
26,-33.2815,151.5766,"NORAH HEAD AWS, AS",ASN00061366,,,,2019,1996
27,26.2667,-108.5833,"LAS ISABELES, MX",MXN00025059,,,,1989,1971
28,34.68333,-118.11667,"LANCASTER, CA US",USC00044747,-0.7492877492877503,-2.7502074904035667,0.8183760683760681,1972,1945
29,37.6241,-120.9505,"MODESTO CITY CO AIRPORT, CA US",USW00023258,2.6956120623307047,1.664932481733585,3.728891421032116,2019,1910
30,56.3833,-111.2667,"STONEY MOUNTAIN, AB CA",CA003066155,,,,1963,1959
31,63.32,13.71,"MATTMAR V, SW",SWE00136819,,,,2015,2000
32,60.2075,24.7442,"ESPOO SEPANKYLA, FI",FIE00142230,,,,2014,2006
33,46.2667,-76.0,"MANIWAKI AIRPORT, QC CA",CA007034482,,3.1682343456060185,,2017,1996
34,53.1,158.3,"SOSNOVKA 1, RS",RSM00032547,3.9005828549940826,4.268052468009334,3.537221982591769,2013,1967
35,39.098,-79.4322,"DAVIS 3 SE, WV US",USC00462211,,,,2019,2003
36,52.1,-120.8833,"BOSS MOUNTAIN, BC CA",CA001090904,,,,1983,1968
37,20.7167,-97.2,"BARRA DE CAZONES CFE, MX",MXN00030332,,,,1991,1978
38,17.4833,-97.1333,"SAN PEDRO CANTAROS, MX",MXN00020121,-4.827174400901178,0.8570757008320681,-10.590538059160275,2010,1961
39,34.8927,-117.0219,"BARSTOW, CA US",USC00040521,2.65818658421831,0.4434432840889809,5.328403994827633,2018,1981
40,44.2,-79.5667,"GILFORD, ON CA",CA006112778,,,,1983,1977
41,29.85,-109.3,"GRANADOS, MX",MXN00026236,6.787206595810315,12.478785159426783,0.8696938512992016,2012,1981
42,53.0333,-100.9333,"HUNTERS POINT MARINE, MB CA",CA005051311,,,,2003,1995
43,36.067,4.7669999999999995,"BORDJ BOU ARRERIDJ, AG",AGM00060444,,,,2017,1988
44,46.1796,-85.0311,"TROUT LAKE 1 SW, MI US",USC00208293,,4.762221732422307,13.193973634651593,2012,1979
45,49.8167,-104.1833,"YELLOW GRASS, SK CA",CA004019040,1.1280395007045032,1.154619122892586,1.6258997125476553,2016,1913
46,19.6,-96.8833,"INGENIO LA CONCEPCION, MX",MXN00030454,,,,2011,1995
47,39.26667,-76.51666999999999,"DUNDALK, MD US",USC00182660,,,,1960,1949
48,61.5319,-144.4397,"CHITNA ALASKA, AK US",USR0000ACHT,,,,2019,2000
49,20.3667,-100.3833,"CEJA DE BRAVO, MX",MXN00022050,,,,2011,1982
50,40.075,-76.0717,"NEW HOLLAND 2 SE, PA US",USC00366238,3.3976068376068382,3.6687179487179487,3.112478632478631,2018,1993
51,36.855,-86.8883,"RUSSELLVILLE, KY US",USC00157049,-0.49907214761023816,-1.1319475162210877,0.21980549267489974,2019,1894
52,18.0167,-98.9,"PAPALUTLA CFE, MX",MXN00012193,,,,2000,1980
53,-19.45,29.85,"GWERU, ZI",ZI000067867,2.131419139858612,3.1566129986608966,1.1105929432281776,1989,1952
